MQ135,MQ136,MQ137,MQ138,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Label
11.89,7.49,18.75,12.44,7.03,15.71,4.82,18.45,15.49,41.05,11.43,4
11.57,7.58,18.43,12.24,7.03,16.11,4.84,17.82,15.22,41.58,11.26,4
14.4,10.75,13.57,15.99,8.37,20.58,7.41,9.95,13.54,42.94,12.23,1
14.87,15.84,10.5,18.36,12.15,23.96,10.38,8.95,18.0,42.11,11.75,1
10.95,7.22,17.81,11.35,6.59,16.44,4.6,16.64,14.89,39.3,10.29,4
11.57,7.4,18.43,12.1,6.83,15.58,4.68,18.53,15.22,39.79,10.95,4
14.17,9.45,14.07,14.34,7.55,19.86,6.99,10.34,13.96,42.11,12.18,2
12.32,7.19,16.79,10.2,6.86,15.84,5.28,15.89,15.56,41.05,11.04,4
11.3,7.58,18.04,11.86,6.97,17.01,4.96,16.86,15.09,40.54,11.17,4
11.99,6.83,17.36,9.77,6.61,14.47,5.26,15.89,15.63,42.66,11.71,3
14.87,13.96,12.63,18.04,10.72,22.75,8.7,9.45,13.32,41.84,12.18,1
12.08,7.08,16.44,10.24,6.72,15.97,5.15,15.5,15.29,40.8,11.26,4
14.34,10.58,13.85,15.78,8.21,20.49,7.29,10.06,13.78,43.22,12.57,2
12.08,7.16,17.0,10.16,6.83,15.71,5.26,15.63,15.63,41.84,11.17,4
11.57,7.79,18.43,12.29,7.17,16.86,4.94,19.71,15.29,41.05,10.99,4
12.77,7.31,15.84,10.78,6.56,15.58,5.8,13.17,15.02,42.66,12.08,2
14.58,13.2,12.83,17.42,10.03,22.03,8.24,9.49,13.26,44.66,12.42,1
12.08,6.91,17.43,9.81,6.67,14.53,5.3,15.89,15.77,42.11,11.66,3
12.87,6.97,17.43,10.05,6.7,14.24,5.48,15.83,15.63,42.94,12.18,3
11.3,7.55,18.04,11.86,6.89,16.93,4.8,17.07,15.15,41.05,10.7,4
14.28,9.75,13.96,14.89,7.58,20.13,7.1,10.26,13.9,43.78,12.47,2
11.48,7.79,18.35,12.19,7.11,16.86,4.94,19.88,15.22,39.79,11.48,4
12.23,6.91,17.88,9.89,6.7,14.42,5.36,16.3,15.91,42.66,11.8,3
11.66,7.73,18.51,12.39,7.2,16.65,4.92,17.82,15.29,41.05,11.04,4
11.48,7.7,18.19,11.9,7.03,17.08,4.96,16.86,15.22,40.54,11.04,4
12.04,6.94,17.81,9.89,6.72,14.77,5.28,17.36,15.77,43.22,11.08,3
11.44,7.52,17.81,11.58,6.94,17.15,5.04,16.09,15.09,41.32,10.99,4
12.04,6.77,17.43,9.73,6.61,14.36,5.28,15.76,15.7,42.66,11.52,3
11.89,8.04,18.51,12.54,7.09,15.08,4.84,18.94,15.35,40.54,11.43,4
11.35,7.67,18.04,12.29,7.09,15.71,4.88,17.51,15.02,39.3,10.61,4
12.37,6.88,17.43,9.89,6.61,14.13,5.36,15.69,15.56,43.22,12.08,3
13.45,7.79,15.08,12.05,6.78,16.93,6.28,12.06,14.76,42.38,12.37,2
12.28,7.08,17.51,10.05,6.86,15.02,5.36,16.3,15.91,42.94,11.48,3
11.89,7.64,18.59,12.54,7.06,15.39,4.84,18.85,15.49,40.54,10.82,4
12.08,6.91,17.51,9.85,6.7,14.59,5.28,16.02,15.77,42.94,11.26,3
11.26,7.58,17.96,11.81,6.94,17.01,4.94,16.57,15.02,41.32,11.34,4
14.52,11.45,13.46,16.47,8.92,21.14,7.71,9.91,13.6,42.94,12.42,1
13.13,7.49,15.39,11.35,6.61,16.24,6.08,12.4,14.89,43.5,11.62,2
11.71,6.83,16.65,10.61,6.3,16.31,4.66,15.0,14.44,38.12,11.08,4
11.39,7.67,18.27,12.05,7.03,16.86,4.88,17.29,15.22,40.29,11.04,4
11.48,7.61,17.88,11.62,7.03,17.22,5.11,16.16,15.15,41.58,11.48,4
11.48,7.67,18.04,12.29,7.09,15.71,4.86,17.44,14.96,39.06,11.17,4
11.08,6.01,16.37,8.9,5.79,13.3,4.68,14.93,14.83,39.79,10.87,3
14.87,16.17,10.34,18.52,12.55,24.42,10.55,8.92,16.05,41.32,12.08,1
11.94,7.61,18.51,12.49,7.06,15.39,4.84,18.77,15.42,41.05,11.04,4
14.94,16.23,9.67,18.69,12.8,25.25,10.89,9.06,13.32,42.11,12.18,1
14.87,12.89,13.04,17.34,9.87,23.07,8.14,9.6,13.32,42.94,11.99,1
13.94,8.7,14.42,13.54,7.14,18.84,6.74,10.93,14.26,41.84,12.13,2
13.83,8.43,14.83,13.06,7.09,18.36,6.64,11.28,14.57,42.94,12.52,2
12.08,7.08,16.51,10.12,6.72,15.84,5.13,15.69,15.35,40.8,11.08,4
14.64,12.43,13.14,17.12,9.64,21.53,7.98,9.79,13.32,43.22,12.67,1
12.28,6.91,17.58,9.89,6.67,14.36,5.36,16.23,15.98,40.54,12.13,3
11.39,6.47,16.79,9.29,6.27,14.24,4.9,15.69,15.15,40.29,10.78,4
14.46,11.49,13.46,16.47,8.88,21.14,7.65,9.83,13.49,43.22,12.57,1
11.94,7.49,17.07,11.13,6.92,17.22,5.15,15.37,15.09,41.84,10.87,4
12.08,7.02,17.43,9.93,6.78,14.89,5.32,16.16,15.84,43.78,11.52,3
12.57,6.88,17.51,9.93,6.61,14.13,5.39,15.89,15.63,43.5,11.99,3
11.94,7.55,18.67,12.54,7.11,15.91,4.88,18.53,15.56,41.58,11.08,4
11.94,7.02,17.21,9.85,6.7,15.14,5.21,15.5,15.56,42.38,10.95,4
11.66,8.11,18.35,12.69,7.14,15.08,4.86,18.85,15.42,41.84,11.48,4
14.4,11.49,13.41,16.4,8.88,21.05,7.65,9.79,13.49,42.66,12.47,1
12.28,6.91,17.66,9.85,6.64,14.36,5.36,16.16,15.98,42.94,11.71,3
13.45,7.76,15.08,12.05,6.75,16.86,6.23,12.06,14.83,42.66,11.99,2
12.98,7.28,15.77,11.0,6.61,15.91,5.89,13.17,15.02,44.37,12.03,2
